Record_ID,Customer_ID,State,Plan_Type,Usage_Date,Time_Block,Cleaned_Usage_kWh,Applied_Rate_kWh,Supply_Charge
REC-000145,CUST-00205,QLD,"Standard Variable",2026-03-29,Peak,8.089219897867551,0.32,1.15
REC-000152,CUST-02426,SA,"EV Premium",2026-03-31,Shoulder,21.23230083052526,0.28500000000000003,NULL
REC-000154,CUST-00671,NSW,"Green Gas Hybrid",2026-02-19,Off-Peak,7.102546986203788,NULL,NULL
REC-000155,CUST-03418,QLD,"Green Gas Hybrid",2026-01-13,Off-Peak,7.763167163528494,NULL,NULL
REC-000156,CUST-03066,NSW,"Solar Saver",2026-01-04,Off-Peak,11.474253798951901,0.18,1.3
REC-000157,CUST-01728,NT,"EV Premium",2026-02-05,Peak,22.35572240909022,0.45,1.5
REC-000162,CUST-03815,NSW,"Solar Saver",2026-03-20,Peak,25.409392685896872,0.38,1.3
REC-000163,CUST-01704,VIC,"Standard Variable",2026-03-18,Off-Peak,19.19991530812004,0.22,1.15
REC-000167,CUST-00054,SA,"Solar Saver",2026-03-01,Shoulder,18.801896826105743,0.28,NULL
REC-000168,CUST-00692,VIC,"Standard Variable",2026-01-22,Off-Peak,13.912390721820776,0.22,1.15
REC-000171,CUST-03433,QLD,"Standard Variable",2026-01-31,Off-Peak,17.919970026124652,0.22,1.15
REC-000172,CUST-00834,NSW,"Standard Variable",2026-03-06,Shoulder,24.94659403982694,0.27,NULL
REC-000175,CUST-03523,NSW,"Standard Variable",2026-03-28,Off-Peak,21.066327024856104,0.22,1.15
REC-000178,CUST-02027,QLD,"EV Premium",2026-03-14,Peak,14.671400579879073,0.45,1.5
REC-000180,CUST-03549,NSW,"EV Premium",2026-03-30,Peak,8.161971242476488,0.45,1.5
REC-000181,CUST-00906,SA,"Solar Saver",2026-03-20,Off-Peak,16.94003289948092,0.18,1.3
REC-000183,CUST-01184,SA,"Solar Saver",2026-01-07,Peak,22.361225238744016,0.38,1.3
REC-000184,CUST-01089,NT,"Solar Saver",2026-03-13,Shoulder,18.27637229940715,0.28,NULL
REC-000185,CUST-01193,VIC,"Standard Variable",2026-01-27,Off-Peak,17.09157569627716,0.22,1.15
REC-000188,CUST-03452,QLD,"Solar Saver",2026-02-08,Off-Peak,17.811915463447455,0.18,1.3
REC-000191,CUST-01049,WA,"Solar Saver",2026-03-20,Shoulder,20.222415046807694,0.28,NULL
REC-000192,CUST-02276,QLD,"Standard Variable",2026-03-31,Peak,18.630225208858995,0.32,1.15
REC-000195,CUST-01635,SA,"Standard Variable",2026-01-25,Peak,28.190825083987743,0.32,1.15
REC-000197,CUST-00503,NSW,"EV Premium",2026-02-01,Off-Peak,25.292858003132004,0.12,1.5
REC-000198,CUST-03570,WA,"EV Premium",2026-02-27,Off-Peak,14.023775545358621,0.12,1.5
REC-000210,CUST-00480,VIC,"Standard Variable",2026-03-29,Shoulder,10.279850918821277,0.27,NULL
REC-000211,CUST-02355,QLD,"Solar Saver",2026-01-30,Peak,20.630851761735677,0.38,1.3
REC-000213,CUST-01144,VIC,"EV Premium",2026-02-09,Peak,26.021000136111837,0.45,1.5
REC-000214,CUST-02334,QLD,"Green Gas Hybrid",2026-03-11,Off-Peak,9.3406456647502,NULL,NULL
REC-000219,CUST-02646,VIC,"Solar Saver",2026-02-25,Peak,25.789101207633287,0.38,1.3
REC-000222,CUST-00839,QLD,"Solar Saver",2026-03-18,Shoulder,11.970880390657106,0.28,NULL
REC-000226,CUST-02210,SA,"Standard Variable",2026-02-01,Shoulder,10.086192601406392,0.27,NULL
REC-000229,CUST-01960,WA,"Green Gas Hybrid",2026-02-07,Off-Peak,13.31723926169813,NULL,NULL
REC-000234,CUST-01842,VIC,"Solar Saver",2026-02-15,Off-Peak,10.988980490101499,0.18,1.3
REC-000239,CUST-00488,NSW,"Green Gas Hybrid",2026-01-26,Peak,9.841062016790515,NULL,NULL
REC-000240,CUST-02128,NSW,"Green Gas Hybrid",2026-03-18,Peak,14.843392248999207,NULL,NULL
REC-000245,CUST-01941,NSW,"Standard Variable",2026-03-15,Peak,18.140898169371624,0.32,1.15
REC-000248,CUST-00960,QLD,"EV Premium",2026-02-22,Off-Peak,26.28073895612836,0.12,1.5
REC-000251,CUST-02564,NSW,"Green Gas Hybrid",2026-01-13,Shoulder,12.930867080143408,NULL,NULL
REC-000252,CUST-00464,QLD,"Green Gas Hybrid",2026-03-13,Off-Peak,13.773275677961827,NULL,NULL
REC-000255,CUST-00919,QLD,"Solar Saver",2026-02-02,Peak,28.845077083678053,0.38,1.3
REC-000257,CUST-01614,VIC,"Green Gas Hybrid",2026-03-09,Off-Peak,8.065598777549054,NULL,NULL
REC-000259,CUST-02121,WA,"Standard Variable",2026-03-24,Shoulder,14.69578613741379,0.27,NULL
REC-000260,CUST-03392,SA,"Standard Variable",2026-03-29,Peak,15.769167282219591,0.32,1.15
REC-000261,CUST-01882,WA,"Standard Variable",2026-03-02,Off-Peak,10.841359419512818,0.22,1.15
REC-000266,CUST-03844,VIC,"Standard Variable",2026-03-08,Peak,20.954834468610144,0.32,1.15
REC-000269,CUST-03211,NSW,"Solar Saver",2026-01-20,Peak,26.33954046033164,0.38,1.3
REC-000273,CUST-02532,WA,"Solar Saver",2026-03-16,Peak,12.695115444635938,0.38,1.3
REC-000276,CUST-02280,NSW,"Standard Variable",2026-01-23,Peak,25.18429185143571,0.32,1.15
REC-000281,CUST-00155,ACT,"EV Premium",2026-03-19,Shoulder,9.726790947111317,0.28500000000000003,NULL
REC-000283,CUST-03666,VIC,"EV Premium",2026-01-27,Shoulder,22.072598094361837,0.28500000000000003,NULL
REC-000285,CUST-01115,QLD,"Solar Saver",2026-03-18,Peak,18.255818694892064,0.38,1.3
REC-000286,CUST-00700,VIC,"Standard Variable",2026-03-08,Peak,20.227318209909193,0.32,1.15
REC-000291,CUST-01014,NSW,"Standard Variable",2026-03-27,Shoulder,18.65309396512381,0.27,NULL
REC-000293,CUST-00012,TAS,"EV Premium",2026-03-10,Off-Peak,4.777731983261509,0.12,1.5
REC-000296,CUST-00662,ACT,"Standard Variable",2026-01-15,Peak,8.994721814963988,0.32,1.15
REC-000303,CUST-00580,NSW,"EV Premium",2026-03-07,Shoulder,19.890357101075715,0.28500000000000003,NULL
REC-000305,CUST-00496,VIC,"Standard Variable",2026-02-21,Off-Peak,11.054687792908506,0.22,1.15
REC-000308,CUST-02137,NSW,"EV Premium",2026-01-03,Shoulder,1.2541622110212636,0.28500000000000003,NULL
REC-000314,CUST-00207,NSW,"EV Premium",2026-02-27,Peak,10.174927633657063,0.45,1.5
REC-000315,CUST-03131,WA,"Solar Saver",2026-03-03,Off-Peak,14.572584088885224,0.18,1.3
REC-000316,CUST-01855,SA,"Solar Saver",2026-01-07,Shoulder,13.047668114338423,0.28,NULL
REC-000320,CUST-01661,QLD,"EV Premium",2026-03-22,Peak,8.77045603712397,0.45,1.5
REC-000326,CUST-00719,NSW,"Standard Variable",2026-03-23,Off-Peak,25.09436340113527,0.22,1.15
REC-000330,CUST-02598,VIC,"Solar Saver",2026-03-12,Off-Peak,15.097327933704838,0.18,1.3
REC-000334,CUST-03014,VIC,"Standard Variable",2026-03-08,Peak,10.281999775314286,0.32,1.15
REC-000338,CUST-00888,NSW,"Standard Variable",2026-02-26,Off-Peak,7.789302879404813,0.22,1.15
REC-000340,CUST-00745,NSW,"Solar Saver",2026-02-13,Shoulder,17.97652601900095,0.28,NULL
REC-000342,CUST-03437,NSW,"Standard Variable",2026-03-08,Shoulder,10.726893208831894,0.27,NULL
REC-000344,CUST-01705,VIC,"Standard Variable",2026-02-02,Off-Peak,13.012881413178446,0.22,1.15
REC-000348,CUST-01957,QLD,"Solar Saver",2026-01-11,Peak,18.0924557395998,0.38,1.3
REC-000349,CUST-01703,VIC,"Standard Variable",2026-01-03,Peak,22.694072589650542,0.32,1.15
REC-000352,CUST-02502,QLD,"Standard Variable",2026-03-22,Shoulder,14.324586797871538,0.27,NULL
REC-000358,CUST-00198,SA,"EV Premium",2026-03-07,Peak,19.92028347369156,0.45,1.5
REC-000362,CUST-01316,QLD,"EV Premium",2026-02-05,Off-Peak,21.50992098929523,0.12,1.5
REC-000367,CUST-03342,QLD,"Standard Variable",2026-01-05,Off-Peak,12.391477037514706,0.22,1.15
REC-000370,CUST-02563,NSW,"Solar Saver",2026-02-25,Peak,14.041848077879848,0.38,1.3
REC-000371,CUST-01668,SA,"EV Premium",2026-03-22,Shoulder,11.61039703359068,0.28500000000000003,NULL
REC-000374,CUST-02649,VIC,"Solar Saver",2026-03-16,Shoulder,16.636443940877953,0.28,NULL
REC-000378,CUST-01580,VIC,"EV Premium",2026-01-12,Shoulder,18.687969087222765,0.28500000000000003,NULL
REC-000380,CUST-00135,SA,"Standard Variable",2026-01-15,Off-Peak,9.938206063162312,0.22,1.15
REC-000382,CUST-02513,VIC,"Standard Variable",2026-02-01,Shoulder,13.22914193350198,0.27,NULL
REC-000388,CUST-01233,NSW,"Standard Variable",2026-03-24,Peak,14.395464014745869,0.32,1.15
REC-000391,CUST-00908,VIC,"Solar Saver",2026-03-05,Shoulder,15.17867119550845,0.28,NULL
REC-000401,CUST-02845,QLD,"Solar Saver",2026-03-11,Peak,19.312703972085554,0.38,1.3
REC-000410,CUST-02393,VIC,"Solar Saver",2026-01-10,Off-Peak,22.512010867648442,0.18,1.3
REC-000416,CUST-02421,NSW,"Green Gas Hybrid",2026-02-20,Peak,14.121188309182983,NULL,NULL
REC-000418,CUST-00067,NSW,"Solar Saver",2026-01-31,Off-Peak,19.709275713699668,0.18,1.3
REC-000420,CUST-00786,SA,"Standard Variable",2026-03-30,Peak,6.50964544878884,0.32,1.15
REC-000423,CUST-02133,VIC,"Standard Variable",2026-02-20,Off-Peak,13.166684831969366,0.22,1.15
REC-000425,CUST-01419,VIC,"EV Premium",2026-03-15,Peak,9.19178302268369,0.45,1.5
REC-000427,CUST-01548,VIC,"Green Gas Hybrid",2026-01-17,Off-Peak,14.503369445927497,NULL,NULL
REC-000428,CUST-00359,SA,"Standard Variable",2026-01-13,Off-Peak,15.879640298151918,0.22,1.15
REC-000429,CUST-01563,WA,"EV Premium",2026-03-21,Shoulder,14.168227427106167,0.28500000000000003,NULL
REC-000431,CUST-02178,QLD,"Solar Saver",2026-03-20,Peak,11.275937069774356,0.38,1.3
REC-000432,CUST-03811,QLD,"EV Premium",2026-02-08,Peak,18.59874092773555,0.45,1.5
REC-000433,CUST-00479,TAS,"Solar Saver",2026-01-19,Off-Peak,20.577897888097024,0.18,1.3
REC-000434,CUST-00648,QLD,"EV Premium",2026-03-26,Peak,21.838150798722378,0.45,1.5
REC-000436,CUST-00264,VIC,"Green Gas Hybrid",2026-01-05,Off-Peak,7.6742415252019045,NULL,NULL
REC-000439,CUST-03743,QLD,"Solar Saver",2026-03-20,Off-Peak,14.951977971258396,0.18,1.3
REC-000444,CUST-02006,QLD,"Green Gas Hybrid",2026-03-25,Off-Peak,21.689927643007696,NULL,NULL
REC-000445,CUST-03141,VIC,"Green Gas Hybrid",2026-01-31,Off-Peak,12.944345249877237,NULL,NULL
REC-000447,CUST-00130,VIC,"Solar Saver",2026-02-16,Shoulder,19.0896396790757,0.28,NULL
REC-000449,CUST-03719,VIC,"Standard Variable",2026-02-09,Shoulder,8.56822169415854,0.27,NULL
REC-000450,CUST-00815,WA,"EV Premium",2026-03-15,Peak,14.882217618311692,0.45,1.5
REC-000453,CUST-00015,NSW,"Solar Saver",2026-03-14,Peak,15.429567134809636,0.38,1.3
REC-000455,CUST-03489,NSW,"Standard Variable",2026-03-02,Peak,19.61085953854667,0.32,1.15
REC-000457,CUST-00703,VIC,"Standard Variable",2026-01-23,Off-Peak,6.713375929268487,0.22,1.15
REC-000466,CUST-02556,SA,"Solar Saver",2026-03-29,Peak,18.271050844272544,0.38,1.3
REC-000469,CUST-03339,QLD,"Standard Variable",2026-02-23,Off-Peak,13.847939012426993,0.22,1.15
REC-000471,CUST-00798,VIC,"Standard Variable",2026-03-27,Peak,10.466451365009735,0.32,1.15
REC-000473,CUST-03675,QLD,"Green Gas Hybrid",2026-02-16,Shoulder,6.179139025921248,NULL,NULL
REC-000476,CUST-01654,VIC,"Standard Variable",2026-01-23,Peak,14.440971852482319,0.32,1.15
REC-000482,CUST-00816,VIC,"Solar Saver",2026-03-25,Peak,20.2792246607957,0.38,1.3
REC-000484,CUST-01211,VIC,"Standard Variable",2026-01-15,Peak,18.51154127322002,0.32,1.15
REC-000485,CUST-03135,NSW,"Solar Saver",2026-03-30,Peak,6.72228949577994,0.38,1.3
REC-000487,CUST-00555,WA,"EV Premium",2026-01-22,Peak,7.95194794959325,0.45,1.5
REC-000488,CUST-02793,VIC,"EV Premium",2026-02-03,Off-Peak,12.944121705737151,0.12,1.5
REC-000494,CUST-01265,NSW,"EV Premium",2026-03-27,Off-Peak,18.22166129790323,0.12,1.5
REC-000497,CUST-02305,SA,"Green Gas Hybrid",2026-01-04,Off-Peak,13.702351102204096,NULL,NULL
REC-000501,CUST-01818,QLD,"Standard Variable",2026-01-28,Shoulder,18.20192128528494,0.27,NULL
REC-000502,CUST-00767,QLD,"Solar Saver",2026-02-23,Peak,13.018697653456444,0.38,1.3
REC-000503,CUST-00573,VIC,"Standard Variable",2026-02-27,Off-Peak,19.044362441416602,0.22,1.15
REC-000507,CUST-00751,NSW,"Solar Saver",2026-02-23,Off-Peak,11.208935682972188,0.18,1.3
REC-000508,CUST-02812,QLD,"Solar Saver",2026-01-11,Peak,18.20484453118486,0.38,1.3
REC-000511,CUST-03555,NSW,"EV Premium",2026-03-06,Off-Peak,10.069404025751599,0.12,1.5
REC-000512,CUST-02419,NSW,"EV Premium",2026-02-13,Off-Peak,13.78047558913935,0.12,1.5
REC-000515,CUST-02989,QLD,"Solar Saver",2026-01-27,Peak,15.356055002366885,0.38,1.3
REC-000516,CUST-00855,NSW,"Standard Variable",2026-03-22,Peak,14.926723862795848,0.32,1.15
REC-000517,CUST-02851,QLD,"Standard Variable",2026-03-21,Peak,11.297822890096114,0.32,1.15
REC-000518,CUST-03380,QLD,"EV Premium",2026-01-01,Shoulder,6.973647522678512,0.28500000000000003,NULL
REC-000519,CUST-00194,QLD,"EV Premium",2026-01-30,Shoulder,15.531856075223464,0.28500000000000003,NULL
REC-000537,CUST-00674,VIC,"Standard Variable",2026-01-31,Peak,20.345982902910322,0.32,1.15
REC-000538,CUST-03702,QLD,"EV Premium",2026-02-11,Off-Peak,21.097926646709716,0.12,1.5
REC-000539,CUST-01361,SA,"EV Premium",2026-03-07,Off-Peak,22.76041541412828,0.12,1.5
REC-000540,CUST-03068,TAS,"Solar Saver",2026-02-20,Off-Peak,18.56318286047524,0.18,1.3
REC-000541,CUST-01445,WA,"Solar Saver",2026-03-20,Peak,15.332605140688832,0.38,1.3
REC-000544,CUST-03354,VIC,"Solar Saver",2026-03-02,Off-Peak,14.13600168172268,0.18,1.3
REC-000551,CUST-01771,VIC,"Standard Variable",2026-01-27,Peak,4.920495616584706,0.32,1.15
REC-000554,CUST-00195,VIC,"Standard Variable",2026-03-21,Off-Peak,14.331219731507149,0.22,1.15
REC-000562,CUST-01753,NSW,"EV Premium",2026-02-19,Peak,4.429266123449022,0.45,1.5
REC-000563,CUST-00661,VIC,"Solar Saver",2026-01-08,Peak,13.897831244126557,0.38,1.3
REC-000565,CUST-02833,NSW,"Standard Variable",2026-03-24,Shoulder,20.74729527372086,0.27,NULL
REC-000570,CUST-00331,VIC,"EV Premium",2026-03-11,Shoulder,8.281157473076604,0.28500000000000003,NULL
REC-000577,CUST-03867,VIC,"EV Premium",2026-03-30,Peak,23.035047480939603,0.45,1.5
REC-000580,CUST-01586,NSW,"Solar Saver",2026-01-31,Shoulder,11.048407401708022,0.28,NULL
REC-000581,CUST-02941,NSW,"Standard Variable",2026-03-06,Off-Peak,16.495611841318812,0.22,1.15
REC-000584,CUST-01503,NSW,"Solar Saver",2026-01-21,Peak,16.578036068447343,0.38,1.3
REC-000585,CUST-00746,SA,"Solar Saver",2026-03-08,Off-Peak,10.676525092590628,0.18,1.3
REC-000586,CUST-02613,NSW,"Standard Variable",2026-02-11,Off-Peak,17.78173536376277,0.22,1.15
REC-000587,CUST-01509,QLD,"Standard Variable",2026-02-15,Peak,14.389706930440951,0.32,1.15
REC-000588,CUST-01771,VIC,"Standard Variable",2026-01-05,Off-Peak,11.49031701695292,0.22,1.15
REC-000589,CUST-01962,VIC,"EV Premium",2026-02-06,Off-Peak,20.152791372135773,0.12,1.5
REC-000592,CUST-03659,QLD,"Standard Variable",2026-02-18,Shoulder,12.864546873652586,0.27,NULL
REC-000595,CUST-00466,VIC,"Standard Variable",2026-01-15,Peak,17.626373607289075,0.32,1.15
REC-000596,CUST-02070,VIC,"Standard Variable",2026-01-30,Off-Peak,7.113268100454087,0.22,1.15
REC-000597,CUST-02444,WA,"Standard Variable",2026-03-18,Shoulder,19.999039058393812,0.27,NULL
REC-000603,CUST-03049,VIC,"Green Gas Hybrid",2026-03-15,Off-Peak,15.186173986336417,NULL,NULL
REC-000609,CUST-01288,VIC,"Standard Variable",2026-02-09,Off-Peak,19.993762534371637,0.22,1.15
REC-000613,CUST-02791,QLD,"Standard Variable",2026-01-23,Off-Peak,10.496381535562875,0.22,1.15
REC-000614,CUST-00862,VIC,"Standard Variable",2026-01-21,Off-Peak,26.658594696430846,0.22,1.15
REC-000616,CUST-01105,NT,"EV Premium",2026-02-03,Shoulder,13.623616357514273,0.28500000000000003,NULL
REC-000618,CUST-00744,VIC,"Solar Saver",2026-01-31,Peak,15.522157971005857,0.38,1.3
REC-000619,CUST-02411,QLD,"Solar Saver",2026-03-25,Peak,12.251795938444214,0.38,1.3
REC-000622,CUST-01834,QLD,"Green Gas Hybrid",2026-03-16,Peak,8.566472803706494,NULL,NULL
REC-000623,CUST-00886,NSW,"Solar Saver",2026-03-09,Off-Peak,11.820202023907475,0.18,1.3
REC-000624,CUST-03605,NSW,"Standard Variable",2026-01-26,Peak,10.182663462798468,0.32,1.15
REC-000627,CUST-03222,NSW,"Green Gas Hybrid",2026-01-25,Peak,23.85408693478227,NULL,NULL
REC-000630,CUST-01597,NSW,"Solar Saver",2026-03-10,Peak,8.11409101274219,0.38,1.3
REC-000635,CUST-02493,QLD,"Standard Variable",2026-01-05,Shoulder,11.206994071032687,0.27,NULL
REC-000641,CUST-00769,VIC,"Solar Saver",2026-01-22,Peak,17.044448340112012,0.38,1.3
REC-000642,CUST-02857,NSW,"EV Premium",2026-02-10,Off-Peak,18.52223586828582,0.12,1.5
REC-000644,CUST-02122,VIC,"Solar Saver",2026-02-28,Peak,20.469489658879272,0.38,1.3
REC-000647,CUST-00014,NSW,"Standard Variable",2026-02-24,Peak,16.82128732028993,0.32,1.15
REC-000652,CUST-02865,VIC,"Solar Saver",2026-01-06,Off-Peak,14.382613760987022,0.18,1.3
REC-000655,CUST-01105,NT,"EV Premium",2026-02-22,Off-Peak,19.81490843029641,0.12,1.5
REC-000656,CUST-02813,QLD,"Standard Variable",2026-01-11,Off-Peak,17.306064723109923,0.22,1.15
REC-000658,CUST-00652,VIC,"EV Premium",2026-01-17,Peak,11.69193046619419,0.45,1.5
REC-000662,CUST-00802,NSW,"EV Premium",2026-03-18,Peak,3.435237096077934,0.45,1.5
REC-000666,CUST-01553,WA,"EV Premium",2026-02-20,Shoulder,17.46032634891242,0.28500000000000003,NULL
REC-000667,CUST-02793,VIC,"EV Premium",2026-01-27,Off-Peak,7.421608331079209,0.12,1.5
REC-000668,CUST-02724,VIC,"Green Gas Hybrid",2026-02-18,Peak,21.856285167380264,NULL,NULL
REC-000670,CUST-02023,SA,"EV Premium",2026-02-19,Peak,17.563377203910235,0.45,1.5
REC-000674,CUST-00604,NSW,"Green Gas Hybrid",2026-03-20,Shoulder,7.307633242040729,NULL,NULL
REC-000682,CUST-03640,NSW,"Solar Saver",2026-01-01,Off-Peak,13.641538378607782,0.18,1.3
REC-000684,CUST-01439,NSW,"EV Premium",2026-01-21,Shoulder,10.914269815572828,0.28500000000000003,NULL
REC-000685,CUST-00851,NSW,"Solar Saver",2026-03-13,Off-Peak,16.000483069560925,0.18,1.3
REC-000686,CUST-00440,NSW,"Standard Variable",2026-03-07,Shoulder,16.736433121101413,0.27,NULL
REC-000691,CUST-02909,NSW,"EV Premium",2026-03-31,Shoulder,15.47469392014465,0.28500000000000003,NULL
REC-000693,CUST-01258,VIC,"Standard Variable",2026-03-13,Peak,13.902634787643905,0.32,1.15
REC-000694,CUST-01545,TAS,"Solar Saver",2026-01-18,Shoulder,17.222790764262317,0.28,NULL
REC-000695,CUST-01906,NSW,"EV Premium",2026-01-24,Off-Peak,18.156133142323633,0.12,1.5
REC-000696,CUST-01816,TAS,"Solar Saver",2026-03-10,Peak,5.9926530088156795,0.38,1.3
REC-000697,CUST-02277,QLD,"EV Premium",2026-01-26,Shoulder,17.324216345598522,0.28500000000000003,NULL
REC-000698,CUST-01451,VIC,"Standard Variable",2026-03-15,Peak,10.522810360692851,0.32,1.15
REC-000699,CUST-03545,WA,"Standard Variable",2026-01-11,Off-Peak,8.54860572983957,0.22,1.15
REC-000705,CUST-01123,WA,"Standard Variable",2026-01-05,Off-Peak,18.964270348154578,0.22,1.15
REC-000708,CUST-02177,NSW,"Standard Variable",2026-02-25,Peak,13.08106222732038,0.32,1.15
REC-000713,CUST-00291,NSW,"Solar Saver",2026-01-01,Peak,14.147472259461066,0.38,1.3
REC-000715,CUST-01419,VIC,"EV Premium",2026-03-01,Peak,19.346382922102876,0.45,1.5
